customer_id,age,gender,country,city,customer_segment,membership_level,signup_date,total_previous_rentals
C000032,61,Other,Países Bajos,Amsterdam,Regular,Standard,2021-01-12,14
C000033,37,Male,España,Zaragoza,Frequent,Standard,2017-10-09,44
C000034,28,Female,España,Bilbao,VIP,Premium,2018-02-18,86
C000035,36,Male,España,Sevilla,Occasional,Basic,2023-11-18,3
C000036,58,Male,España,Granada,Regular,Basic,2019-10-04,14
C000037,29,Male,España,Granada,Occasional,Basic,2025-12-21,1
C000038,39,Male,Portugal,Coimbra,VIP,Standard,2019-08-27,104
C000039,24,Male,Francia,Marseille,Occasional,Basic,2019-07-29,4
C000040,43,Male,Países Bajos,Groningen,Occasional,Basic,2025-01-01,1
C000041,54,Male,Alemania,Hamburg,Frequent,Premium,2020-10-18,38
C000042,41,Male,Países Bajos,Amsterdam,Occasional,Basic,2020-09-11,2
C000043,33,Male,España,Sevilla,Regular,Premium,2026-06-18,4
C000044,32,Male,Portugal,Faro,Occasional,Basic,2021-11-03,4
C000045,39,Female,España,Sevilla,VIP,Gold,2024-02-26,49
C000046,45,Female,Alemania,München,Frequent,Gold,2018-12-19,46
C000047,49,Male,Alemania,Frankfurt,Occasional,Basic,2024-11-20,2
C000048,24,Male,Francia,Marseille,Regular,Standard,2025-04-21,1
C000049,31,Female,Alemania,München,Occasional,Basic,2026-05-23,1
C000050,56,Male,Bélgica,Bruxelles,Regular,Premium,2026-04-09,2
C000051,44,Male,Italia,Torino,Regular,Standard,2025-10-08,2
C000052,39,Male,Francia,Marseille,Frequent,Gold,2019-12-24,39
C000053,48,Male,Países Bajos,Utrecht,Occasional,Basic,2026-04-01,3
C000054,18,Female,España,Sevilla,Occasional,Standard,2018-06-19,4
C000055,46,Female,Países Bajos,Groningen,Regular,Gold,2021-09-26,16
C000056,70,Female,Italia,Firenze,Regular,Standard,2021-09-13,8
C000057,38,Female,Francia,Chamonix,Occasional,Standard,2019-08-19,2
C000058,41,Male,España,Valencia,Occasional,Standard,2026-02-02,0
C000059,33,Male,Italia,Torino,Occasional,Basic,2025-03-28,1
C000060,25,Male,Países Bajos,Utrecht,Frequent,Gold,2017-12-04,34
C000061,31,Male,Italia,Roma,Occasional,Standard,2024-02-06,1
C000062,49,Female,Países Bajos,Amsterdam,Occasional,Standard,2020-10-13,3
C000063,45,Male,Países Bajos,Eindhoven,Frequent,Standard,2020-09-02,34
C000064,26,Male,Francia,Chamonix,Occasional,Standard,2025-07-16,0
C000065,29,Female,Italia,Milano,Regular,Standard,2025-08-29,3
C000066,30,Male,Francia,Annecy,Occasional,Standard,2026-03-21,1
C000067,40,Other,Italia,Firenze,Frequent,Premium,2017-09-28,45
C000068,35,Female,Países Bajos,Groningen,Regular,Basic,2025-03-05,0
C000069,37,Female,Países Bajos,Den Haag,Frequent,Premium,2017-11-29,36
C000070,24,Female,Alemania,Frankfurt,Occasional,Basic,2018-10-27,1
C000071,59,Male,Portugal,Coimbra,Regular,Standard,2018-08-09,14
C000072,41,Male,Países Bajos,Den Haag,Regular,Standard,2024-03-07,7
C000073,31,Female,España,Granada,Occasional,Basic,2025-10-29,0
C000074,27,Female,Portugal,Faro,Occasional,Standard,2019-10-24,9
C000075,32,Male,Países Bajos,Amsterdam,Occasional,Basic,2024-11-12,2
C000076,53,Other,Portugal,Lisboa,VIP,Premium,2025-05-27,22
C000077,57,Female,Alemania,Hamburg,Regular,Standard,2021-03-14,20
C000078,29,Female,Países Bajos,Rotterdam,Regular,Premium,2020-03-31,13
C000079,32,Male,Italia,Firenze,Regular,Premium,2023-09-11,9
C000080,18,Male,Portugal,Faro,Regular,Standard,2026-01-11,3
C000081,18,Male,Países Bajos,Den Haag,Occasional,Basic,2023-04-08,3
C000082,39,Female,Italia,Cortina,Occasional,Basic,2026-06-27,0
C000083,33,Female,Bélgica,Brugge,Regular,Basic,2018-07-04,12
C000084,33,Female,Portugal,Braga,Occasional,Basic,2024-11-25,1
C000085,31,Male,Italia,Milano,Frequent,Premium,2020-02-01,48
C000086,42,Male,Bélgica,Gent,Frequent,Premium,2024-01-18,23
C000087,39,Female,Italia,Milano,Occasional,Standard,2018-05-28,2
C000088,51,Male,España,Málaga,Regular,Premium,2024-10-20,9
C000089,71,Female,Francia,Annecy,Occasional,Standard,2025-10-06,1
C000090,24,Female,Francia,Nice,VIP,Gold,2021-05-18,118
C000091,21,Female,Alemania,München,Frequent,Premium,2022-06-04,38
C000092,59,Male,Países Bajos,Den Haag,Frequent,Standard,2025-07-19,7
C000093,37,Female,España,Zaragoza,Occasional,Basic,2018-11-12,3
C000094,48,Male,Francia,Annecy,Occasional,Basic,2017-08-16,3
C000095,23,Female,Italia,Torino,Occasional,Standard,2018-11-01,3
C000096,24,Female,España,Bilbao,Occasional,Standard,2024-06-29,2
C000097,49,Female,España,Madrid,Occasional,Basic,2022-01-09,1
C000098,21,Male,Francia,Annecy,Occasional,Basic,2026-04-14,1
C000099,56,Female,Países Bajos,Utrecht,VIP,Gold,2020-10-20,85
C000100,48,Female,Italia,Venezia,Occasional,Standard,2019-08-06,5
C000101,29,Male,España,Málaga,Occasional,Basic,2019-11-21,2
C000102,58,Male,España,Valencia,Frequent,Premium,2020-08-02,42
C000103,45,Female,Alemania,Hamburg,Regular,Basic,2020-08-01,16
C000104,35,Male,Alemania,München,Regular,Standard,2025-06-08,1
C000105,39,Female,Francia,Bordeaux,Regular,Standard,2023-03-19,8
C000106,18,Male,Francia,Lyon,Frequent,Premium,2021-12-15,43
C000107,20,Female,Francia,Paris,Regular,Standard,2025-12-01,0
C000108,48,Female,Francia,Nice,Regular,Standard,2019-01-20,15
C000109,40,Male,España,Madrid,Regular,Premium,2020-04-01,7
C000110,57,Male,Países Bajos,Utrecht,Occasional,Basic,2025-01-06,1
C000111,43,Male,Italia,Napoli,Occasional,Basic,2025-12-22,0
C000112,22,Female,Italia,Bologna,Occasional,Standard,2018-05-17,3
C000113,24,Male,Italia,Milano,Occasional,Standard,2018-05-04,3
C000114,27,Male,Bélgica,Antwerpen,Regular,Standard,2022-02-03,11
C000115,30,Female,Francia,Paris,Occasional,Basic,2019-03-19,2
C000116,40,Male,Bélgica,Liège,Occasional,Basic,2018-02-11,5
C000117,53,Female,Francia,Lyon,Occasional,Standard,2021-06-07,2
C000118,46,Female,Italia,Cortina,Frequent,Gold,2025-05-18,14
C000119,54,Male,España,Madrid,Occasional,Basic,2019-03-04,4
C000120,43,Male,Francia,Paris,Regular,Standard,2025-08-02,3
C000121,32,Female,España,Barcelona,Frequent,Premium,2022-06-11,22
C000122,19,Male,Francia,Nice,Occasional,Basic,2024-12-28,1
C000123,46,Female,Alemania,Köln,Regular,Premium,2024-09-28,4
C000124,36,Male,Bélgica,Liège,Occasional,Basic,2024-10-27,3
C000125,48,Other,Portugal,Porto,Occasional,Basic,2025-11-18,1
C000126,30,Female,Italia,Milano,Regular,Standard,2021-06-17,12
C000127,59,Female,Italia,Milano,Frequent,Gold,2023-01-17,26
C000128,59,Female,Francia,Nice,Occasional,Standard,2020-11-12,4
C000129,26,Female,Francia,Chamonix,Regular,Standard,2021-09-09,19
C000130,42,Male,Francia,Bordeaux,Occasional,Basic,2021-04-20,5
C000131,18,Female,España,Málaga,Regular,Standard,2020-09-12,14
C000132,27,Female,Bélgica,Brugge,Regular,Standard,2019-04-26,13
C000133,26,Female,Portugal,Coimbra,Regular,Premium,2020-05-21,16
C000134,30,Female,España,Barcelona,Regular,Standard,2017-11-24,12
C000135,34,Female,Italia,Roma,Occasional,Basic,2023-04-28,2
C000136,27,Female,España,Málaga,Regular,Premium,2017-08-22,15
C000137,39,Male,España,Madrid,Regular,Gold,2024-10-01,5
C000138,18,Female,Francia,Bordeaux,Regular,Gold,2024-10-14,5
C000139,50,Male,Bélgica,Liège,Occasional,Basic,2025-09-02,4
C000140,24,Female,Alemania,Hamburg,Occasional,Basic,2020-05-03,5
C000141,35,Male,Alemania,Berlin,Occasional,Basic,2017-12-17,1
C000142,32,Female,Alemania,Hamburg,Occasional,Standard,2025-08-01,1
C000143,51,Other,Países Bajos,Den Haag,Occasional,Basic,2021-08-27,1
C000144,33,Female,Portugal,Porto,Occasional,Basic,2021-05-01,2
C000145,56,Male,España,Málaga,Regular,Premium,2021-07-06,9
C000146,42,Male,Alemania,Berlin,Occasional,Basic,2017-12-28,5
C000147,25,Female,Italia,Torino,Frequent,Gold,2026-07-02,12
C000148,35,Male,Bélgica,Antwerpen,Regular,Premium,2024-01-23,6
C000149,37,Female,España,Granada,Regular,Gold,2024-11-02,5
C000150,47,Male,Portugal,Coimbra,Occasional,Standard,2022-02-18,5
C000151,40,Female,Francia,Lyon,Occasional,Standard,2019-02-12,5
C000152,35,Male,Francia,Annecy,Regular,Standard,2026-02-23,3
C000153,28,Male,Italia,Venezia,Frequent,Basic,2020-07-28,48
C000154,44,Male,Italia,Milano,Occasional,Premium,2024-07-16,3
C000155,33,Other,Bélgica,Gent,Regular,Basic,2021-05-25,13
C000156,28,Female,Francia,Bordeaux,Regular,Premium,2021-09-01,8
C000157,24,Female,Francia,Lyon,Regular,Basic,2022-08-06,12
C000158,51,Female,Bélgica,Liège,Occasional,Basic,2018-07-16,2
C000159,18,Other,Países Bajos,Utrecht,Regular,Standard,2019-09-28,10
C000160,44,Male,Italia,Cortina,Occasional,Standard,2019-04-06,1
C000161,38,Other,Portugal,Coimbra,Frequent,Basic,2019-01-21,37
C000162,30,Female,Portugal,Lisboa,Occasional,Standard,2022-11-07,3
C000163,28,Male,Italia,Firenze,Occasional,Basic,2021-05-12,3
C000164,38,Female,Portugal,Coimbra,VIP,Premium,2017-12-27,101
C000165,31,Female,Italia,Bologna,Occasional,Standard,2020-04-29,5
C000166,30,Female,Francia,Marseille,Occasional,Standard,2019-07-18,2
C000167,50,Female,Italia,Bologna,Occasional,Standard,2026-03-02,1
C000168,35,Female,Bélgica,Antwerpen,Occasional,Basic,2022-12-08,2
C000169,38,Male,Italia,Firenze,Occasional,Basic,2019-12-11,7
C000170,27,Female,Portugal,Faro,Occasional,Basic,2020-11-25,4
C000171,50,Other,Portugal,Porto,Regular,Premium,2021-05-15,17
C000172,53,Female,España,Madrid,Regular,Premium,2021-08-10,14
C000173,40,Female,España,Sevilla,Occasional,Basic,2020-12-06,6
C000174,56,Female ,Países Bajos,Eindhoven,Regular,Standard,2020-03-17,16
C000175,30,Female,Italia,Napoli,Occasional,Basic,2019-12-16,3
C000176,49,Female,Francia,Marseille,Frequent,Gold,2021-03-13,36
C000177,33,Male,Italia,Cortina,Occasional,Standard,2026-01-21,1
C000178,31,Female,Países Bajos,Amsterdam,Regular,Basic,2025-09-19,6
C000179,56,Female,Italia,Venezia,Occasional,Basic,2024-09-08,1
C000180,33,Female,Bélgica,Gent,Regular,Standard,2025-12-10,7
C000181,25,Male,Italia,Bologna,Occasional,Basic,2023-06-05,2
C000182,18,Male,Alemania,Garmisch,Regular,Premium,2019-08-25,14
C000183,38,Male,Italia,Torino,Occasional,Basic,2021-12-04,3
C000184,24,Female,Francia,Marseille,Frequent,Premium,2017-10-06,42
C000185,63,Male,Países Bajos,Groningen,Regular,Premium,2019-02-06,16
C000186,60,Female,Portugal,Braga,Regular,Premium,2020-06-07,15
C000187,18,Male,Italia,Roma,Frequent,Standard,2018-04-02,42
C000188,59,Male,Portugal,Porto,VIP,Premium,2022-09-19,80
C000189,27,Female,Bélgica,Bruxelles,Occasional,Basic,2025-05-16,0
C000190,54,Female,Italia,Cortina,Occasional,Basic,2025-08-28,0
C000191,51,Male,Portugal,Porto,Occasional,Standard,2026-04-06,0
C000192,55,Female,Italia,Napoli,Occasional,Standard,2022-03-23,1
C000193,61,Female,Países Bajos,Eindhoven,Regular,Basic,2025-12-29,3
C000194,22,Female,España,Málaga,VIP,Premium,2023-12-25,38
C000195,24,Female,Bélgica,Gent,VIP,Premium,2025-06-29,27
C000196,48,Female,Francia,Chamonix,Regular,Standard,2020-05-19,10
C000197,39,Female,Portugal,Lisboa,Regular,Standard,2018-03-18,4
C000198,46,Male,Francia,Marseille,Frequent,Premium,2025-11-28,10
C000199,33,Female,Portugal,Braga,Frequent,Premium,2025-01-30,9
C000200,49,Female,Portugal,Porto,Occasional,Basic,2023-10-16,3
C000201,21,Female,Francia,Paris,Regular,Standard,2022-10-23,17
C000202,63,Female,Italia,Torino,Frequent,Standard,2025-07-21,8
C000203,70,Female,Portugal,Porto,Occasional,Basic,2020-12-23,1
C000204,18,Female,Italia,Torino,Occasional,Basic,2019-01-20,6
C000205,58,Male,Portugal,Braga,VIP,Premium,2018-06-17,116
C000206,18,Female,Francia,Paris,VIP,Gold,2023-01-25,56
C000207,45,Female,Portugal,Porto,Frequent,Gold,2022-12-31,32
C000208,25,Male,Francia,Bordeaux,Regular,Gold,2023-12-22,8
C000209,43,Male,Francia,Toulouse,Occasional,Basic,2024-06-28,4
C000210,21,Female,España,Zaragoza,Occasional,Standard,2024-09-27,0
C000211,43,Female,Italia,Bologna,Regular,Standard,2020-08-27,10
C000212,35,Male,España,Valencia,Regular,Basic,2021-05-20,12
C000213,34,Male,España,Zaragoza,Regular,Basic,2021-07-26,11
C000214,42,Male,Países Bajos,Rotterdam,Regular,Standard,2019-03-09,11
C000215,18,Male,Bélgica,Antwerpen,Occasional,Premium,2020-07-24,5
C000216,46,Female,Países Bajos,Eindhoven,Regular,Standard,2023-10-21,8
C000217,33,FEMALE,Países Bajos,Eindhoven,Occasional,Basic,2019-10-21,4
C000218,18,Female,Alemania,Köln,Occasional,Standard,2024-08-02,0
C000219,46,Male,Francia,Marseille,Occasional,Basic,2018-04-18,0
C000220,29,Male,Francia,Marseille,Occasional,Standard,2024-02-16,2
C000221,37,Female,Italia,Torino,Frequent,Standard,2020-06-07,45
C000222,42,Male,Alemania,Hamburg,Occasional,Basic,2023-10-06,2
C000223,37,Male,España,Barcelona,Occasional,Basic,2026-01-24,1
C000224,37,Female,Portugal,Lisboa,Regular,Gold,2022-06-06,12
C000225,45,Male,España,Barcelona,Regular,Standard,2025-07-22,1
C000226,34,Male,España,Zaragoza,Occasional,Standard,2025-04-10,1
C000227,51,Male,Países Bajos,Amsterdam,Occasional,Standard,2025-05-02,1
C000228,52,Female,Francia,Nice,Occasional,Premium,2018-03-01,1
C000229,30,Male,Francia,Bordeaux,Regular,Standard,2026-06-11,5
C000230,30,Male,Francia,Annecy,Occasional,Basic,2020-03-12,6
C000231,46,Female,Francia,Annecy,Occasional,Premium,2022-08-12,1
C000232,59,male,alemania,Garmisch,Occasional,Standard,2021-06-03,2
C000233,52,Female,Italia,Bologna,Regular,Premium,2023-03-22,18
C000234,26,Male,España,Málaga,Occasional,Basic,2025-06-06,0
C000235,34,Female,Países Bajos,Eindhoven,Frequent,Premium,2021-06-15,38
C000236,27,Male,Países Bajos,Groningen,Occasional,Basic,2022-05-23,3
C000237,57,Male,Bélgica,Antwerpen,Regular,Standard,2020-09-04,11
C000238,43,Female,España,Sevilla,Occasional,Standard,2019-01-23,4
C000239,24,Female,Bélgica,Antwerpen,Occasional,Basic,2019-06-11,3
C000240,32,Male,Países Bajos,Groningen,Occasional,Basic,2019-07-05,6
C000241,25,Female,España,Madrid,Frequent,Gold,2026-06-06,11
C000242,32,Female,España,Barcelona,Frequent,Gold,2024-05-12,21
C000243,45,Male,Italia,Napoli,Occasional,Basic,2025-02-26,1
C000244,29,Male,Francia,Chamonix,Occasional,Basic,2022-04-20,6
C000245,39,Male,España,Málaga,Frequent,Standard,2021-09-01,41
C000246,42,Male,Italia,Napoli,Regular,Premium,2024-03-27,4
C000247,18,Female,Francia,Annecy,Occasional,Basic,2024-07-07,2
C000248,18,Male,Países Bajos,Rotterdam,Occasional,Basic,2020-12-03,3
C000249,31,Male,España,Madrid,Regular,Standard,2026-04-11,2
C000250,26,Male,Francia,Marseille,Regular,Premium,2026-04-24,2
C000251,43,Female,Francia,Marseille,Regular,Standard,2025-03-21,2
C000252,33,Female,España,Bilbao,VIP,Gold,2019-06-05,120
C000253,47,Female,Países Bajos,Den Haag,Occasional,Standard,2017-08-20,8
C000254,44,Female,Alemania,Garmisch,Occasional,Basic,2023-05-16,6
C000255,49,Male,Italia,Firenze,Occasional,Basic,2024-10-05,1
C000256,31,Female,Alemania,Köln,Occasional,Basic,2023-03-02,2
C000257,35,Male,Bélgica,Bruxelles,Occasional,Basic,2026-04-11,2
C000258,64,Female,Francia,Annecy,Occasional,Basic,2024-07-16,1
C000259,24,Male,España,Madrid,Occasional,Basic,2022-09-13,1
C000260,46,Male,Italia,Cortina,Regular,Basic,2017-10-01,13
C000261,51,Female,Bélgica,Bruxelles,Occasional,Standard,2023-10-18,3
C000262,44,Female,Francia,Paris,Occasional,Standard,2018-12-01,2
C000263,49,Male,Italia,Cortina,Regular,Standard,2020-04-08,18
C000264,38,Male,Portugal,Lisboa,Regular,Standard,2023-09-30,12
C000265,44,Other,Alemania,Frankfurt,Regular,Premium,2019-04-15,21
C000266,40,Female,Francia,Lyon,Frequent,Standard,2020-09-03,45
C000267,19,Male,España,Zaragoza,Regular,Standard,2024-05-20,7
C000268,35,Female,España,Zaragoza,Occasional,Standard,2026-06-15,1
C000269,18,Other,Alemania,Berlin,Occasional,Basic,2022-11-24,2
C000270,46,Female,Países Bajos,Eindhoven,Regular,Standard,2022-12-01,9
C000271,40,Female,Portugal,Braga,Occasional,Standard,2019-06-23,7
C000272,50,Male,Portugal,Faro,Occasional,Standard,2020-05-07,3
C000273,23,Male,Alemania,Köln,Occasional,Premium,2026-04-14,2
C000274,39,Female,Italia,Cortina,Occasional,Standard,2024-11-16,0
C000275,39,Female,Italia,Roma,Occasional,Standard,2019-12-15,3
C000276,64,Male,Francia,Marseille,Occasional,Standard,2023-01-17,3
C000277,35,Male,Portugal,Lisboa,Frequent,Standard,2019-03-02,47
C000278,30,Male,España,Valencia,Frequent,Standard,2019-08-17,29
C000279,38,Male,Países Bajos,Den Haag,Occasional,Standard,2024-07-15,0
C000280,59,Female,Alemania,Berlin,Frequent,Standard,2023-02-20,31
C000281,49,Female,España,Barcelona,Occasional,Basic,2019-05-28,2
C000282,46,Female,Francia,Toulouse,Frequent,Premium,2026-04-28,14
C000283,34,Male,Italia,Venezia,VIP,Gold,2021-08-14,95
C000284,35,Female,Alemania,Berlin,Occasional,Basic,2024-09-09,1
C000285,57,Male,Portugal,Porto,Regular,Basic,2024-01-05,3
C000286,32,Female,España,Madrid,VIP,Gold,2022-04-20,92
C000287,31,Male,España,Valencia,Frequent,Standard,2025-04-08,14
C000288,18,Female,Portugal,Lisboa,VIP,Gold,2021-05-02,82
C000289,18,Male,Francia,Marseille,Regular,Standard,2020-08-22,8
C000290,52,Male,Bélgica,Brugge,Occasional,Basic,2018-09-26,5
C000291,18,Female,Bélgica,Liège,Frequent,Standard,2019-09-29,38
C000292,58,Female,Bélgica,Brugge,Regular,Standard,2024-10-12,6
C000293,34,Male,Bélgica,Bruxelles,Regular,Premium,2022-05-12,7
C000294,42,Male,Francia,Bordeaux,Occasional,Standard,2017-09-30,4
C000295,51,Female,España,Valencia,Regular,Premium,2022-02-26,11
C000296,30,Female,Bélgica,Gent,Occasional,Premium,2023-01-05,2
C000297,45,Female,Francia,Marseille,Regular,Standard,2022-08-23,16
C000298,24,FEMALE,italia,Firenze,Occasional,Standard,2025-01-10,0
C000299,29,Male,Países Bajos,Den Haag,Regular,Basic,2022-10-02,10
C000300,43,Male,Alemania,Berlin,Frequent,Standard,2020-12-18,41
C000301,43,Male,Italia,Cortina,Occasional,Basic,2025-10-15,1
C000302,42,Female,Países Bajos,Den Haag,Regular,Premium,2021-12-14,9
C000303,57,Male,España,Valencia,Occasional,Standard,2020-12-06,3
C000304,36,Female,Italia,Firenze,VIP,Premium,2025-04-05,29
C000305,58,Female,Bélgica,Bruxelles,Regular,Basic,2019-02-21,12
C000306,38,Male,Países Bajos,Rotterdam,Occasional,Basic,2020-07-02,5
C000307,45,Female,Alemania,Frankfurt,Occasional,Standard,2021-10-27,5
C000308,47,Male,Portugal,Coimbra,Occasional,Basic,2026-06-29,1
C000309,31,Female,Portugal,Braga,Occasional,Basic,2021-06-20,1
C000310,40,Male,Países Bajos,Groningen,Frequent,Basic,2018-03-22,32
C000311,19,Female,España,Valencia,Regular,Basic,2017-11-11,12
C000312,39,Male,España,Bilbao,Occasional,Basic,2018-04-20,2
C000313,38,Male,Italia,Bologna,Frequent,Standard,2018-03-29,43
C000314,44,Female,Alemania,Hamburg,Occasional,Basic,2019-06-25,2
C000315,36,FEMALE,Francia,Toulouse,Frequent,Premium,2025-10-05,9
C000316,61,Female,Italia,Bologna,Occasional,Basic,2021-07-05,5
C000317,18,Other,Italia,Milano,Regular,Basic,2018-05-19,13
C000318,22,Male,Alemania,München,Frequent,Premium,2019-10-31,35
C000319,25,Male,Alemania,Hamburg,Occasional,Standard,2022-01-30,1
C000320,37,Male,Portugal,Lisboa,Regular,Standard,2023-01-20,8
C000321,27,Male,Alemania,Hamburg,VIP,Premium,2019-03-26,99
C000322,22,Female,Portugal,Porto,Occasional,Basic,2023-07-09,3
C000323,31,Female,Alemania,Berlin,Occasional,Standard,2020-11-22,2
C000324,18,Male,Alemania,Hamburg,Regular,Basic,2020-02-05,16
C000325,42,Female,Países Bajos,Utrecht,Occasional,Basic,2021-02-12,1
C000326,41,Female,Italia,Napoli,Occasional,Basic,2019-03-24,2
C000327,21,Male,Francia,Chamonix,Occasional,Basic,2026-01-28,2
C000328,49,Male,Portugal,Faro,Regular,Basic,2024-08-10,10
C000329,20,Male,Alemania,Frankfurt,Occasional,Basic,2025-10-02,1
C000330,30,Male,Alemania,München,Occasional,Standard,2025-01-28,2
C000331,40,Female,Italia,Bologna,Frequent,Premium,2019-02-09,31
C000332,38,Male,Portugal,Faro,Regular,Standard,2025-12-18,4
C000333,18,Female,Portugal,Porto,Frequent,Standard,2022-11-01,33
C000334,43,Female,Alemania,Köln,Occasional,Standard,2026-04-16,1
C000335,37,Female,España,Zaragoza,VIP,Gold,2022-03-22,94
C000336,62,Female,Francia,Toulouse,Regular,Premium,2021-05-23,9
C000337,45,Female,Países Bajos,Den Haag,Occasional,Standard,2025-09-23,1
C000338,57,Female,España,Valencia,Frequent,Premium,2021-10-19,34
C000339,25,Male,Italia,Venezia,Occasional,Standard,2019-07-22,7
C000340,18,Male,Bélgica,Brugge,Occasional,Standard,2019-05-17,3
C000341,55,Male,Bélgica,Bruxelles,Occasional,Standard,2022-12-25,2
C000342,42,Male,Países Bajos,Rotterdam,Regular,Premium,2023-10-30,6
C000343,61,Female,Alemania,Köln,Occasional,Basic,2018-07-14,4
C000344,52,Female,Francia,Lyon,Occasional,Basic,2022-11-21,3
C000345,51,Male,Italia,Cortina,Occasional,Standard,2022-04-28,2
C000346,43,Female,Alemania,Frankfurt,Occasional,Basic,2023-12-23,0
C000347,26,Male,Italia,Firenze,Occasional,Standard,2023-08-02,2
C000348,24,Female,Francia,Paris,Regular,Premium,2019-12-29,17
C000349,18,Male,Portugal,Coimbra,Occasional,Standard,2024-05-22,1
C000350,31,Female,Francia,Paris,Occasional,Basic,2022-05-04,2
C000351,37,Female,Italia,Firenze,Regular,Premium,2023-01-08,12
C000352,36,Female,España,Sevilla,Occasional,Standard,2021-10-08,7
C000353,38,Female,Países Bajos,Groningen,Regular,Standard,2021-12-19,11
C000354,18,Male,Italia,Roma,Occasional,Basic,2025-07-20,2
C000355,40,other,italia,Milano,Occasional,Standard,2024-03-16,2
C000356,57,Female,España,Granada,Occasional,Standard,2020-08-23,3
C000357,27,Female,Italia,Roma,Occasional,Standard,2019-02-17,2
C000358,19,Female,Países Bajos,Utrecht,Occasional,Basic,2023-09-24,1
C000359,18,Female,España,Zaragoza,Frequent,Gold,2023-01-28,41
C000360,29,Female,Portugal,Braga,Occasional,Basic,2023-08-18,0
C000361,33,Male,Francia,Annecy,Regular,Standard,2019-11-12,16
C000362,40,Male,Países Bajos,Den Haag,Regular,Gold,2025-02-05,5
C000363,47,Female,España,Zaragoza,Occasional,Basic,2020-09-14,4
C000364,25,Male,España,Sevilla,Regular,Standard,2024-04-22,4
C000365,31,Female,Francia,Bordeaux,Occasional,Basic,2026-04-17,1
C000366,18,Female,Bélgica,Gent,Occasional,Basic,2026-02-09,0
C000367,45,Female,Bélgica,Liège,Occasional,Basic,2021-02-10,0
C000368,32,Female,España,Barcelona,Regular,Standard,2021-02-22,13
C000369,34,Female,Francia,Nice,Frequent,Premium,2018-07-16,40
C000370,54,Female,España,Bilbao,Occasional,Standard,2019-03-06,2
C000371,39,Female,Alemania,Berlin,Regular,Basic,2017-12-09,18
C000372,59,Other,Francia,Bordeaux,Regular,Basic,2023-09-02,8
C000373,47,Female,España,Málaga,Occasional,Basic,2019-04-04,4
C000374,32,Female,Alemania,Berlin,Regular,Standard,2026-03-01,3
C000375,23,Female,Países Bajos,Rotterdam,Regular,Premium,2020-08-14,14
C000376,35,Female,Países Bajos,Eindhoven,Frequent,Premium,2022-04-29,42
C000377,51,Male,Bélgica,Antwerpen,VIP,Gold,2025-07-27,32
C000378,19,Male,Portugal,Faro,Occasional,Basic,2021-08-11,4
C000379,29,Other,Países Bajos,Den Haag,Occasional,Basic,2023-05-08,3
C000380,27,Female,Bélgica,Gent,Regular,Premium,2020-09-30,11
C000381,32,Male,Alemania,Garmisch,Occasional,Standard,2021-03-17,7
C000382,43,Female,Francia,Paris,Occasional,Standard,2023-09-28,0
